tl_p_intro,tl_o_intro,bl_p_intro,bl_o_intro,tr_p_intro,tr_o_intro,br_p_intro,br_o_intro,mult,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,initial_choice_loop.thisRepN,initial_choice_loop.thisTrialN,initial_choice_loop.thisN,initial_choice_loop.thisIndex,initial_other_choice,other_name,order,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,name_text.started,type_name.started,type_name.text,name_mouse.x,name_mouse.y,name_mouse.leftButton,name_mouse.midButton,name_mouse.rightButton,name_mouse.clicked_name,selected_avatar,avatar_mouse.x,avatar_mouse.y,avatar_mouse.leftButton,avatar_mouse.midButton,avatar_mouse.rightButton,practice_avatar_1.started,practice_top_left_1.started,practice_top_right_1.started,practice_bottom_left_1.started,practice_bottom_right_1.started,practice_points_tl_p_1.started,practice_points_tl_o_1.started,practice_points_bl_p_1.started,practice_points_bl_o_1.started,practice_points_tr_p_1.started,practice_points_tr_o_1.started,practice_points_br_p_1.started,practice_points_br_o_1.started,practice_tr_header_1.started,practice_bt_header_1.started,practice_p_header_1.started,practice_o_header_1.started,practice_bb_header_1.started,practice_tl_header_1.started,practice_text_1.started,practice_cont_1.started,practice_mouse_1.started,practice_avatar_2.started,practice_top_left_2.started,practice_top_right_2.started,practice_bottom_left_2.started,practice_bottom_right_2.started,practice_points_tl_p_2.started,practice_points_tl_o_2.started,practice_points_bl_p_2.started,practice_points_bl_o_2.started,practice_points_tr_p_2.started,practice_points_tr_o_2.started,practice_points_br_p_2.started,practice_points_br_o_2.started,practice_tr_header_2.started,practice_bt_header_2.started,practice_p_header_2.started,practice_o_header_2.started,practice_bb_header_2.started,practice_tl_header_2.started,practice_text_2.started,practice_cont_2.started,practice_mouse_2.started,practice_avatar_3.started,practice_top_left_3.started,practice_top_right_3.started,practice_bottom_left_3.started,practice_bottom_right_3.started,practice_points_tl_p_3.started,practice_points_tl_o_3.started,practice_points_bl_p_3.started,practice_points_bl_o_3.started,practice_points_tr_p_3.started,practice_points_tr_o_3.started,practice_points_br_p_3.started,practice_points_br_o_3.started,practice_tr_header_3.started,practice_bt_header_3.started,practice_p_header_3.started,practice_o_header_3.started,practice_bb_header_3.started,practice_tl_header_3.started,practice_text_3.started,practice_cont_3.started,practice_mouse_3.started,practice_avatar_4.started,practice_top_left_4.started,practice_top_right_4.started,practice_bottom_left_4.started,practice_bottom_right_4.started,practice_points_tl_p_4.started,practice_points_tl_o_4.started,practice_points_bl_p_4.started,practice_points_bl_o_4.started,practice_points_tr_p_4.started,practice_points_tr_o_4.started,practice_points_br_p_4.started,practice_points_br_o_4.started,practice_tr_header_4.started,practice_bt_header_4.started,practice_p_header_4.started,practice_o_header_4.started,practice_bb_header_4.started,practice_tl_header_4.started,practice_text_4.started,practice_cont_4.started,practice_mouse_4.started,practice_avatar_trial_5.started,practice_top_left_5.started,practice_top_right_5.started,practice_bottom_left_5.started,practice_bottom_right_5.started,practice_points_tl_p_5.started,practice_points_tl_o_5.started,practice_points_bl_p_5.started,practice_points_bl_o_5.started,practice_points_tr_p_5.started,practice_points_tr_o_5.started,practice_points_br_p_5.started,practice_points_br_o_5.started,practice_tr_header_5.started,practice_bt_header_5.started,practice_p_header_5.started,practice_o_header_5.started,practice_bb_header_5.started,practice_tl_header_5.started,practice_text_5.started,practice_cont_5.started,practice_mouse_5.started,practice_avatar_6.started,practice_top_left_6.started,practice_top_right_6.started,practice_bottom_left_6.started,practice_bottom_right_6.started,practice_points_tl_p_6.started,practice_points_tl_o_6.started,practice_points_bl_p_6.started,practice_points_bl_o_6.started,practice_points_tr_p_6.started,practice_points_tr_o_6.started,practice_points_br_p_6.started,practice_points_br_o_6.started,practice_tr_header_6.started,practice_bt_header_6.started,practice_p_header_6.started,practice_o_header_6.started,practice_bb_header_6.started,practice_tl_header_6.started,practice_text_6.started,practice_cont_6.started,practice_mouse_6.started,practice_avatar_7.started,practice_top_left_7.started,practice_top_right_7.started,practice_bottom_left_7.started,practice_bottom_right_7.started,practice_points_tl_p_7.started,practice_points_tl_o_7.started,practice_points_bl_p_7.started,practice_points_bl_o_7.started,practice_points_tr_p_7.started,practice_points_tr_o_7.started,practice_points_br_p_7.started,practice_points_br_o_7.started,practice_tr_header_7.started,practice_bt_header_7.started,practice_p_header_7.started,practice_other_header_7.started,practice_bb_header_7.started,practice_tl_header_7.started,practice_text_7.started,practice_cont_7.started,practice_mouse_7.started,practice_avatar_8.started,practice_p_header_8.started,practice_multiple_8.started,practice_bottom_left_8.started,practice_bottom_right_8.started,practice_cont_8.started,practice_mouse_8.started,practice_bl_text_8.started,practice_br_text_8.started,other_avatar,o_intro_text.started,o_intro_avatar_p.started,o_intro_avatar_o.started,o_intro_cont.started,o_intro_mouse.started,ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,D,-0.08541666666666667,-0.7814814814814814,1,0,0,start_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_18h06.58.435,PD,2022.2.4,59.94398833713389,
,,,,,,,,,,,,,,,,,,,,,,,,,,42.33424489999925,42.33424489999925,,-0.08541666666666667,-0.7814814814814814,1,0,0,name_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_18h06.58.435,PD,2022.2.4,59.94398833713389,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar5,-0.0625,-0.4351851851851852,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_18h06.58.435,PD,2022.2.4,59.94398833713389,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_18h06.58.435,PD,2022.2.4,59.94398833713389,
1,1,0,1.5,1.5,0,0.5,0.5,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.31726650000019,45.31726650000019,45.31726650000019,45.31726650000019,45.31726650000019,45.31726650000019,45.31726650000019,45.31726650000019,45.31726650000019,45.31726650000019,45.31726650000019,45.31726650000019,45.31726650000019,45.31726650000019,45.31726650000019,45.31726650000019,45.31726650000019,45.31726650000019,45.31726650000019,45.31726650000019,45.31726650000019,0.1293086999994557,46.5589901000003,46.5589901000003,46.5589901000003,46.5589901000003,46.5589901000003,46.5589901000003,46.5589901000003,46.5589901000003,46.5589901000003,46.5589901000003,46.5589901000003,46.5589901000003,46.5589901000003,46.5589901000003,46.5589901000003,46.5589901000003,46.5589901000003,46.5589901000003,46.5589901000003,46.5589901000003,46.5589901000003,0.052595600000131526,47.09190099999978,47.09190099999978,47.09190099999978,47.09190099999978,47.09190099999978,47.09190099999978,47.09190099999978,47.09190099999978,47.09190099999978,47.09190099999978,47.09190099999978,47.09190099999978,47.09190099999978,47.09190099999978,47.09190099999978,47.09190099999978,47.09190099999978,47.09190099999978,47.09190099999978,47.09190099999978,47.09190099999978,0.05302769999980228,47.584173699999155,47.584173699999155,47.584173699999155,47.584173699999155,47.584173699999155,47.584173699999155,47.584173699999155,47.584173699999155,47.584173699999155,47.584173699999155,47.584173699999155,47.584173699999155,47.584173699999155,47.584173699999155,47.584173699999155,47.584173699999155,47.584173699999155,47.584173699999155,47.584173699999155,47.584173699999155,47.584173699999155,0.050728300000628224,48.12841309999931,48.12841309999931,48.12841309999931,48.12841309999931,48.12841309999931,48.12841309999931,48.12841309999931,48.12841309999931,48.12841309999931,48.12841309999931,48.12841309999931,48.12841309999931,48.12841309999931,48.12841309999931,48.12841309999931,48.12841309999931,48.12841309999931,48.12841309999931,48.12841309999931,48.12841309999931,48.12841309999931,0.05115230000046722,48.672915200000716,48.672915200000716,48.672915200000716,48.672915200000716,48.672915200000716,48.672915200000716,48.672915200000716,48.672915200000716,48.672915200000716,48.672915200000716,48.672915200000716,48.672915200000716,48.672915200000716,48.672915200000716,48.672915200000716,48.672915200000716,48.672915200000716,48.672915200000716,48.672915200000716,48.672915200000716,48.672915200000716,0.06605139999919629,49.30180710000059,49.30180710000059,49.30180710000059,49.30180710000059,49.30180710000059,49.30180710000059,49.30180710000059,49.30180710000059,49.30180710000059,49.30180710000059,49.30180710000059,49.30180710000059,49.30180710000059,49.30180710000059,49.30180710000059,49.30180710000059,49.30180710000059,49.30180710000059,49.30180710000059,49.30180710000059,49.30180710000059,0.12191619999975956,49.856194300000425,49.856194300000425,49.856194300000425,49.856194300000425,49.856194300000425,49.856194300000425,0.08499129999836441,49.856194300000425,49.856194300000425,,,,,,,,2022-10-02_18h06.58.435,PD,2022.2.4,59.94398833713389,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar3.png,74.75093079999897,74.75093079999897,74.75093079999897,74.75093079999897,0.12944330000027549,,,,,,
